list index out of range: {'origin': 'ws', 'forged': ['ws', 'ЦС'], 'suggest': ['', ''], 'relatives': ['ws']}
list index out of range: {'origin': 'slovak', 'forged': ['slovak', 'СLOVΛK'], 'suggest': ['', ''], 'relatives': ['slovak']}
list index out of range: {'origin': 'omega', 'forged': ['omega', 'OMΣΓΛ'], 'suggest': ['', ''], 'relatives': ['omega']}
list index out of range: {'origin': 'lucky', 'forged': ['lucky', 'LUKKY'], 'suggest': ['', ''], 'relatives': ['lucky']}
list index out of range: {'origin': 'relax', 'forged': ['relax', 'RΣLΛKС'], 'suggest': ['', ''], 'relatives': ['relax']}
list index out of range: {'origin': 'tba', 'forged': ['tba', 'TVΛ'], 'suggest': ['', ''], 'relatives': ['tba']}
list index out of range: {'origin': 'jerry', 'forged': ['jerry', 'JΣRRY'], 'suggest': ['', ''], 'relatives': ['jerry']}
list index out of range: {'origin': 'adware', 'forged': ['adware', 'ΛΔЦΛRΣ'], 'suggest': ['', ''], 'relatives': ['adware']}
list index out of range: {'origin': 'gt', 'forged': ['gt', 'ΓT'], 'suggest': ['', ''], 'relatives': ['gt']}
list index out of range: {'origin': 'pal', 'forged': ['pal', 'ПΛL'], 'suggest': ['', ''], 'relatives': ['pal']}
list index out of range: {'origin': 'gmbh', 'forged': ['gmbh', 'ΓMVХ'], 'suggest': ['', ''], 'relatives': ['gmbh']}
list index out of range: {'origin': 'bt', 'forged': ['bt', 'VT'], 'suggest': ['', ''], 'relatives': ['bt']}
list index out of range: {'origin': 'via', 'forged': ['via', 'VIΛ'], 'suggest': ['', ''], 'relatives': ['via']}
list index out of range: {'origin': 'pd', 'forged': ['pd', 'ПΔ'], 'suggest': ['', ''], 'relatives': ['pd']}
list index out of range: {'origin': 'ipod', 'forged': ['ipod', 'IПOΔ'], 'suggest': ['', ''], 'relatives': ['ipod']}
list index out of range: {'origin': 'mix', 'forged': ['mix', 'MIKС'], 'suggest': ['', ''], 'relatives': ['mix']}
list index out of range: {'origin': 'sad', 'forged': ['sad', 'СΛΔ'], 'suggest': ['', ''], 'relatives': ['sad']}
list index out of range: {'origin': 'ko', 'forged': ['ko', 'KO'], 'suggest': ['', ''], 'relatives': ['ko']}
list index out of range: {'origin': 'mem', 'forged': ['mem', 'MΣM'], 'suggest': ['', ''], 'relatives': ['mem']}
list index out of range: {'origin': 'gsm', 'forged': ['gsm', 'ΓСM'], 'suggest': ['', ''], 'relatives': ['gsm']}
list index out of range: {'origin': 'nz', 'forged': ['nz', 'NZ'], 'suggest': ['', ''], 'relatives': ['nz']}
list index out of range: {'origin': 'imperial', 'forged': ['imperial', 'IMПΣRIΛL'], 'suggest': ['', ''], 'relatives': ['imperial']}
list index out of range: {'origin': 'o', 'forged': ['o', 'O'], 'suggest': ['', ''], 'relatives': ['o']}
list index out of range: {'origin': 'pee', 'forged': ['pee', 'ПΣI'], 'suggest': ['', ''], 'relatives': ['pee']}
list index out of range: {'origin': 'ru', 'forged': ['ru', 'RU'], 'suggest': ['', ''], 'relatives': ['ru']}
list index out of range: {'origin': 'fujitsu', 'forged': ['fujitsu', 'FUJITСU'], 'suggest': ['', ''], 'relatives': ['fujitsu']}
list index out of range: {'origin': 'espn', 'forged': ['espn', 'ΣСПN'], 'suggest': ['', ''], 'relatives': ['espn']}
list index out of range: {'origin': 'ups', 'forged': ['ups', 'UПС'], 'suggest': ['', ''], 'relatives': ['ups']}
list index out of range: {'origin': 'faq', 'forged': ['faq', 'FΛKЦ'], 'suggest': ['', ''], 'relatives': ['faq']}
list index out of range: {'origin': 'unix', 'forged': ['unix', 'UNIKС'], 'suggest': ['', ''], 'relatives': ['unix']}
list index out of range: {'origin': 'ka', 'forged': ['ka', 'KΛ'], 'suggest': ['', ''], 'relatives': ['ka']}
list index out of range: {'origin': 'href', 'forged': ['href', 'ХRΣF'], 'suggest': ['', ''], 'relatives': ['href']}
list index out of range: {'origin': 'ebay', 'forged': ['ebay', 'ΣVΛY'], 'suggest': ['', ''], 'relatives': ['ebay']}
list index out of range: {'origin': 're', 'forged': ['re', 'RΣ'], 'suggest': ['', ''], 'relatives': ['re']}
list index out of range: {'origin': 'javascript', 'forged': ['javascript', 'JΛVΛСKRIПT'], 'suggest': ['', ''], 'relatives': ['javascript']}
list index out of range: {'origin': 'mason', 'forged': ['mason', 'MΛСON'], 'suggest': ['', ''], 'relatives': ['mason']}
list index out of range: {'origin': 'justin', 'forged': ['justin', 'JUСTIN'], 'suggest': ['', ''], 'relatives': ['justin']}
list index out of range: {'origin': 'flu', 'forged': ['flu', 'FLU'], 'suggest': ['', ''], 'relatives': ['flu']}
list index out of range: {'origin': 'ui', 'forged': ['ui', 'UI'], 'suggest': ['', ''], 'relatives': ['ui']}
list index out of range: {'origin': 'argue', 'forged': ['argue', 'ΛRΓUΣ'], 'suggest': ['', ''], 'relatives': ['argue']}
list index out of range: {'origin': 'hotmail', 'forged': ['hotmail', 'ХOTMΛIL'], 'suggest': ['', ''], 'relatives': ['hotmail']}
list index out of range: {'origin': 'kyle', 'forged': ['kyle', 'KYLΣ'], 'suggest': ['', ''], 'relatives': ['kyle']}
list index out of range: {'origin': 'obj', 'forged': ['obj', 'OVJ'], 'suggest': ['', ''], 'relatives': ['obj']}
list index out of range: {'origin': 'ecology', 'forged': ['ecology', 'ΣKOLOΓY'], 'suggest': ['', ''], 'relatives': ['ecology']}
list index out of range: {'origin': 'fraser', 'forged': ['fraser', 'FRΛСΣR'], 'suggest': ['', ''], 'relatives': ['fraser']}
list index out of range: {'origin': 'ibm', 'forged': ['ibm', 'IVM'], 'suggest': ['', ''], 'relatives': ['ibm']}
list index out of range: {'origin': 'mba', 'forged': ['mba', 'MVΛ'], 'suggest': ['', ''], 'relatives': ['mba']}
list index out of range: {'origin': 's', 'forged': ['s', 'С'], 'suggest': ['', ''], 'relatives': ['s']}
list index out of range: {'origin': 'exec', 'forged': ['exec', 'ΣKСΣK'], 'suggest': ['', ''], 'relatives': ['exec']}
list index out of range: {'origin': 'username', 'forged': ['username', 'UСΣRNΛMΣ'], 'suggest': ['', ''], 'relatives': ['username']}
list index out of range: {'origin': 'done', 'forged': ['done', 'ΔONΣ'], 'suggest': ['', ''], 'relatives': ['done']}
list index out of range: {'origin': 'api', 'forged': ['api', 'ΛПI'], 'suggest': ['', ''], 'relatives': ['api']}
list index out of range: {'origin': 'easier', 'forged': ['easier', 'ΣΛСIΣR'], 'suggest': ['', ''], 'relatives': ['easier']}
list index out of range: {'origin': 'bl', 'forged': ['bl', 'VL'], 'suggest': ['', ''], 'relatives': ['bl']}
list index out of range: {'origin': 'dl', 'forged': ['dl', 'ΔL'], 'suggest': ['', ''], 'relatives': ['dl']}
list index out of range: {'origin': 'smtp', 'forged': ['smtp', 'СMTП'], 'suggest': ['', ''], 'relatives': ['smtp']}
list index out of range: {'origin': 'undo', 'forged': ['undo', 'UNΔO'], 'suggest': ['', ''], 'relatives': ['undo']}
list index out of range: {'origin': 'vcr', 'forged': ['vcr', 'VKR'], 'suggest': ['', ''], 'relatives': ['vcr']}
list index out of range: {'origin': 'tmp', 'forged': ['tmp', 'TMП'], 'suggest': ['', ''], 'relatives': ['tmp']}
list index out of range: {'origin': 'usr', 'forged': ['usr', 'UСR'], 'suggest': ['', ''], 'relatives': ['usr']}
list index out of range: {'origin': 'icq', 'forged': ['icq', 'IKKЦ'], 'suggest': ['', ''], 'relatives': ['icq']}
list index out of range: {'origin': 'xanax', 'forged': ['xanax', 'KСΛNΛKС'], 'suggest': ['', ''], 'relatives': ['xanax']}
list index out of range: {'origin': 'bin', 'forged': ['bin', 'VIN'], 'suggest': ['', ''], 'relatives': ['bin']}
list index out of range: {'origin': 'temp', 'forged': ['temp', 'TΣMП'], 'suggest': ['', ''], 'relatives': ['temp']}
list index out of range: {'origin': 'tgp', 'forged': ['tgp', 'TΓП'], 'suggest': ['', ''], 'relatives': ['tgp']}
list index out of range: {'origin': 'san', 'forged': ['san', 'СΛN'], 'suggest': ['', ''], 'relatives': ['san']}
list index out of range: {'origin': 'utils', 'forged': ['utils', 'UTILС'], 'suggest': ['', ''], 'relatives': ['utils']}
list index out of range: {'origin': 'ware', 'forged': ['ware', 'ЦΛRΣ'], 'suggest': ['', ''], 'relatives': ['ware']}
list index out of range: {'origin': 'gst', 'forged': ['gst', 'ΓСT'], 'suggest': ['', ''], 'relatives': ['gst']}
list index out of range: {'origin': 'pdf', 'forged': ['pdf', 'ПΔF'], 'suggest': ['', ''], 'relatives': ['pdf']}
list index out of range: {'origin': 'km', 'forged': ['km', 'KM'], 'suggest': ['', ''], 'relatives': ['km']}
list index out of range: {'origin': 'sl', 'forged': ['sl', 'СL'], 'suggest': ['', ''], 'relatives': ['sl']}
list index out of range: {'origin': 'phd', 'forged': ['phd', 'ПХΔ'], 'suggest': ['', ''], 'relatives': ['phd']}
list index out of range: {'origin': 'www', 'forged': ['www', 'ЦЦЦ'], 'suggest': ['', ''], 'relatives': ['www']}
list index out of range: {'origin': 'rely', 'forged': ['rely', 'RΣLY'], 'suggest': ['', ''], 'relatives': ['rely']}
list index out of range: {'origin': 'gtk', 'forged': ['gtk', 'ΓTK'], 'suggest': ['', ''], 'relatives': ['gtk']}
list index out of range: {'origin': 'docs', 'forged': ['docs', 'ΔOKС'], 'suggest': ['', ''], 'relatives': ['docs']}
list index out of range: {'origin': 'bat', 'forged': ['bat', 'VΛT'], 'suggest': ['', ''], 'relatives': ['bat']}
list index out of range: {'origin': 'gamecube', 'forged': ['gamecube', 'ΓΛMΣKUVΣ'], 'suggest': ['', ''], 'relatives': ['gamecube']}
list index out of range: {'origin': 'fix', 'forged': ['fix', 'FIKС'], 'suggest': ['', ''], 'relatives': ['fix']}
list index out of range: {'origin': 'kit', 'forged': ['kit', 'KIT'], 'suggest': ['', ''], 'relatives': ['kit']}
list index out of range: {'origin': 'bikes', 'forged': ['bikes', 'VIKΣС'], 'suggest': ['', ''], 'relatives': ['bikes']}
